"","id","megye","telepules","oevk_szam","jelolo_code","jelolo","biz_szint"
"1","aba-001","fejér","aba","001","597","JOBBIK","SZSZB"
"2","aba-001","fejér","aba","001","641","FIDESZ-KDNP","SZSZB"
"3","aba-001","fejér","aba","001","597","JOBBIK","SZSZB"
"4","aba-001","fejér","aba","001","641","FIDESZ-KDNP","SZSZB"
"5","aba-001","fejér","aba","001","599","DK","SZSZB"
"6","aba-002","fejér","aba","002","599","DK","SZSZB"
"7","aba-002","fejér","aba","002","641","FIDESZ-KDNP","SZSZB"
"8","aba-002","fejér","aba","002","641","FIDESZ-KDNP","SZSZB"
"9","aba-002","fejér","aba","002","597","JOBBIK","SZSZB"
"10","aba-003","fejér","aba","003","641","FIDESZ-KDNP","SZSZB"
"11","aba-003","fejér","aba","003","641","FIDESZ-KDNP","SZSZB"
"12","aba-003","fejér","aba","003","597","JOBBIK","SZSZB"
"13","aba-004","fejér","aba","004","641","FIDESZ-KDNP","SZSZB"
"14","aba-004","fejér","aba","004","641","FIDESZ-KDNP","SZSZB"
"15","aba-004","fejér","aba","004","599","DK","SZSZB"
"16","aba-004","fejér","aba","004","597","JOBBIK","SZSZB"
"17","aba-005","fejér","aba","005","641","FIDESZ-KDNP","SZSZB"
"18","aba-005","fejér","aba","005","599","DK","SZSZB"
"19","aba-005","fejér","aba","005","641","FIDESZ-KDNP","SZSZB"
"20","aba-005","fejér","aba","005","597","JOBBIK","SZSZB"
"21","aba-005","fejér","aba","005","597","JOBBIK","SZSZB"
"22","abádszalók-001","jász-nagykun-szolnok","abádszalók","001","641","FIDESZ-KDNP","SZSZB"
"23","abádszalók-001","jász-nagykun-szolnok","abádszalók","001","641","FIDESZ-KDNP","SZSZB"
"24","abádszalók-001","jász-nagykun-szolnok","abádszalók","001","597","JOBBIK","SZSZB"
"25","abádszalók-002","jász-nagykun-szolnok","abádszalók","002","641","FIDESZ-KDNP","SZSZB"
"26","abádszalók-002","jász-nagykun-szolnok","abádszalók","002","641","FIDESZ-KDNP","SZSZB"
"27","abádszalók-003","jász-nagykun-szolnok","abádszalók","003","641","FIDESZ-KDNP","SZSZB"
"28","abádszalók-003","jász-nagykun-szolnok","abádszalók","003","641","FIDESZ-KDNP","SZSZB"
"29","abádszalók-004","jász-nagykun-szolnok","abádszalók","004","641","FIDESZ-KDNP","SZSZB"
"30","abádszalók-004","jász-nagykun-szolnok","abádszalók","004","599","DK","SZSZB"
"31","abádszalók-004","jász-nagykun-szolnok","abádszalók","004","641","FIDESZ-KDNP","SZSZB"
"32","abádszalók-005","jász-nagykun-szolnok","abádszalók","005","641","FIDESZ-KDNP","SZSZB"
"33","abádszalók-005","jász-nagykun-szolnok","abádszalók","005","641","FIDESZ-KDNP","SZSZB"
"34","abádszalók-005","jász-nagykun-szolnok","abádszalók","005","597","JOBBIK","SZSZB"
"35","abádszalók-005","jász-nagykun-szolnok","abádszalók","005","599","DK","SZSZB"
"36","abaliget-","baranya","abaliget",NA,"641","FIDESZ-KDNP","HVB"
"37","abasár-001","heves","abasár","001","641","FIDESZ-KDNP","SZSZB"
"38","abasár-001","heves","abasár","001",NA,NA,"SZSZB"
"39","abasár-001","heves","abasár","001","641","FIDESZ-KDNP","SZSZB"
"40","abasár-001","heves","abasár","001","597","JOBBIK","SZSZB"
"41","abasár-001","heves","abasár","001","597","JOBBIK","SZSZB"
"42","abasár-002","heves","abasár","002","597","JOBBIK","SZSZB"
"43","abasár-002","heves","abasár","002","641","FIDESZ-KDNP","SZSZB"
"44","abasár-002","heves","abasár","002","641","FIDESZ-KDNP","SZSZB"
"45","abasár-002","heves","abasár","002",NA,NA,"SZSZB"
"46","abaújalpár-","borsod-abaúj-zemplén","abaújalpár",NA,"641","FIDESZ-KDNP","HVB"
"47","abaújkér-001","borsod-abaúj-zemplén","abaújkér","001","641","FIDESZ-KDNP","SZSZB"
"48","abaújkér-001","borsod-abaúj-zemplén","abaújkér","001","644","MSZP-PÁRBESZÉD","SZSZB"
"49","abaújkér-001","borsod-abaúj-zemplén","abaújkér","001","641","FIDESZ-KDNP","SZSZB"
