"","id","kistelepules","total","fidesz","ellenzek","is_fidesz","is_ellenzek","megyeid","megye","telepid","telep","oevk","szavazokor","ervenyes","ervenytelen","part","values"
"1","abaliget-001",1,2,1,0,1,"nincs ellenzéki",2,"BARANYA",1,"Abaliget",4,"001",373,0.00797872340425532,"fidesz",0.38031914893617
"2","abaújalpár-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",1,"Abaújalpár",5,"001",42,0.0454545454545455,"fidesz",0.5
"3","acsád-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",1,"Acsád",2,"001",323,0.0271084337349398,"fidesz",0.557228915662651
"4","alacska-001",1,2,1,0,1,"nincs ellenzéki",5,"BORSOD-ABAÚJ-ZEMPLÉN",9,"Alacska",4,"001",352,0.0140056022408964,"fidesz",0.442577030812325
"5","almamellék-001",1,2,0,0,0,"nincs ellenzéki",2,"BARANYA",3,"Almamellék",4,"001",230,0.00432900432900433,"fidesz",0.58008658008658
"6","almásháza-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",2,"Almásháza",2,"001",46,0.0612244897959184,"fidesz",0.612244897959184
"7","alsószenterzsébet-001",1,2,1,0,1,"nincs ellenzéki",20,"ZALA",6,"Alsószenterzsébet",1,"001",47,0.0408163265306122,"fidesz",0.775510204081633
"8","alsószölnök-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",2,"Alsószölnök",3,"001",195,0.00510204081632653,"fidesz",0.576530612244898
"9","alsótold-001",1,2,1,0,1,"nincs ellenzéki",13,"NÓGRÁD",2,"Alsótold",1,"001",166,0.0119047619047619,"fidesz",0.523809523809524
"10","apátistvánfalva-001",1,2,1,0,1,"nincs ellenzéki",18,"VAS",5,"Apátistvánfalva",3,"001",233,0.00851063829787234,"fidesz",0.565957446808511
"11","babót-001",1,2,1,0,1,"nincs ellenzéki",8,"GYOR-MOSON-SOPRON",7,"Babót",3,"001",675,0.0102639296187683,"fidesz",0.56158357771261
